"","Quantiseq_B.cells","Quantiseq_Macrophages.M1","Quantiseq_Macrophages.M2","Quantiseq_Monocytes","Quantiseq_Neutrophils","Quantiseq_NK.cells","Quantiseq_T.cells.non.regulatory","Quantiseq_CD8.cells","Quantiseq_T.cells.regulatory","Quantiseq_Dendritic.cells","Quantiseq_uncharacterized_cell"
"SAMd1bd63734394",0.0136268325110222,0.00557910042535364,0.0184169411116362,0,0.106773800810357,0.00960721197472732,0,0.0023207575937948,0.007113362951083,0,0.836561992622026
"SAMe9ae8beb82fa",0.0359445026936552,0,0.0460639857634304,0,0.148753484957744,0.00792759492591097,0,0,0.00987886062408329,0,0.751431571035176
"SAMba7176afe070",0.0218479777559988,0,0.0306146682961628,0,0.0613825383794982,0.0137462324732211,0,0,0.00383278555474996,0,0.868575797540369
"SAMbe83eae4026e",0.0200905465629855,0.000575323167150352,0.0330970429507461,0,0.184094919753235,0.00549974384603081,0,0.00110981420394045,0.00870687821306754,0,0.746825731302844
"SAMe5bc41772bc9",0.0186932281572154,0.0203052415293591,0.0330460142646515,0,0.0813766502639035,0.0115393171483416,0,0.000121216474207543,0.0104103302173251,0,0.824508001944996
"SAM23095936e611",0.0121290766351245,0,0.0252163288209662,0,0.13792951067181,0.00516979816756775,0,0,0.00839869867623608,0,0.811156587028295
"SAM7114d99032ec",0.00738439414201303,0,0.0220806831450133,0,0.338252130682894,0.00365199493151168,0,0,0.00235123499240174,0,0.626279562106166
"SAMdb3f50c9129c",0.0399587010223159,0,0.0554719988082645,0,0.0597610164413993,0.0270142473917706,0,0,0.00856701961563679,0,0.809227016720613
"SAMbf1a3ae828e6",0.033619713844804,0.00289305032608431,0.0407087146681782,0,0.0981115770206205,0.0180294536092816,0,0.000263257104049233,0.0237197568212732,0,0.782654476605709
"SAM52e3fa3ad574",0.22986710795311,0.0142454757780616,0.0363279679108155,0,0.0816030461134259,0.0445380759436229,0.17186083903306,0.0178241253014655,0.0471694663095468,0,0.356563895656892
"SAMd4c0837b0997",0.026025057835226,0.00532096020382474,0.0173807636916289,0,0.122027785576607,0.0112853370490023,0,0.00130192417627986,0.0105354922380618,0,0.80612267922937
"SAM9cafb905b36a",0.0219940509718932,0.0252700543335869,0.0368087700491754,0,0.17001746606264,0.0205858261854645,0,0.00728272501184858,0.0165587715244324,0,0.701482335860959
"SAM032c642382a7",0.0144569516046095,0.0127606425809766,0.00611440641342586,0,0.366303538097497,0.00334415858296429,0,0.00328149750980786,0.0125624043165145,0,0.581176400894204
"SAM0ce9c983b20f",0.0267648457111685,0.0177606131772832,0.0401271141279256,0,0.074260910591578,0.0169676684064172,0,0.00157104038877693,0.0432975244795837,0,0.779250283117267
"SAM2f228939632f",0.0337705595604141,0.0159799212881288,0.0339423046911438,0,0.067352489125006,0.0198912590628958,0,0.000174701728342192,0.0196128586000886,0,0.809275905943981
"SAM297c0301e861",0.0171382827127707,0.0410727633456143,0.0224961988250168,0,0.189925669420842,0.0114304059997165,0,0.00311821748427005,0.0208789670814176,0,0.693939495130352
"SAM1fa6bcb7fc48",0.0128774201363504,0,0.0204195321067596,0,0.120237128345175,0.00730584038827137,0,0.000919426131136737,0.0126829337368152,0,0.825557719155491
"SAM6d2ae0c39b96",0.0416942432081044,0,0.0411201605884873,0,0.109725105292745,0.0113646738029606,0.00617604289209431,0,0.00229589183010362,0,0.787623882385505
"SAMeff2ce356ccb",0.0147676930901745,0,0.0297808420008421,0,0.0814407633463047,0.00580413050134705,0,0,0.00640262081567666,0,0.861803950245655
"SAM110501d0eedb",0.0234607018372705,0,0.0312120342922255,0,0.20223319457231,0.00862452943826819,0,0,0.0071050518789702,0,0.727364487980956
"SAM2e9ac0b1b250",0.0161446646585937,0.00639728304767893,0.065156483434607,0,0.037212226762275,0.0201050708393388,0,0.00384387551367343,0.0166153787872909,0,0.834525016956542
"SAMc0ef41aa6c8b",0.0232585017824752,0,0.0798682124525804,0,0.129885870352759,0.00653921969147141,0.00873877761773149,0.00167390729287603,0.00292277009981657,0,0.747112740710289
"SAMd636e3461955",0.0212590809141469,0.0528362801107642,0.0741676930389419,0,0.17423115955604,0.0181258958446698,0,0,0.025825922524273,0,0.633553968011164
"SAM30b5c6c54cf7",0.0170097502629569,0.00141197658578712,0.0532920299215325,0,0.0653430195970303,0.0206616712682289,0,0.00186747689508857,0.00197036262328423,0,0.838443712846092
